features.28,nindex
On the water,187
Water,22
Gray and rocky,199
Top of tower,33
Protruding snout,227
Human and doll faces,376
Pink or purple,106
Light brown with dots,238
Pointy dog face,288
The ears of animals,328
White fur,446
Fox-like face,431
Human face with hat,152
Blurry image,450
Woody/vertical lines,363
Clothing,436
Orange colored objects,334
Red color/lines,293
Long items,111
Brown curved objects,382
White object on brown,394
Sandy texture,171
Balls,407
Green,257
Arched ceilings,15
Round edges,108
White circles,371
Cushion-shaped objects,42
Elongated stripes,300
Shiny dark skin,417
Finely patterned,495
Chalice-form,35
Seam/stitches,255
Bird on a branch,102
Colorful bird,93
Black/white robe,216
Feathers/bird head,260
Bridges or screens,289
Parallel lines/\n train tracks,57
Crossing beams,338
Poles in water,270
Red and orange spots,282
Dark-colored or\n insect-like,317
Red,505
Fine lines,2
Brownish/dark color,275
Bright/dark/circular,113
Grid of round objects,458
Vertical bars,138
Grid-like objects,192
Reddish round objects,101
Brown fur,248
Gray-Brown fur,392
Brown short fluffy fur,443
Clay-like ground,267
Car front,88
Street/ground,71
Shiny colored objects,229
Box-shaped,114
Dark elongated object,294
Rectangular objects,271
Skin-colored/body,222
Dark round edges,134
Dark color,468
Dark round objects,115
Yellow coral/food,499
Black-white pattern,218
Multiple bars,454
Lines/tent-like,319
Fine lines,140
Long thin lines,359
White trapezium,239
Gray machine-like,411
Vehicle wheels,37
Turtle shell,478
Striped and scaled,368
Dark area under\n rigid object,254
Brown color with spots,28
Side of an object,460
Body regions,496
Grid texture/Body,81
Brownish leafy ground,183
Text on sign,118
Thin red color,451
Circular objects,388
Shiny brown food,427
Brown colored objects,403
Wrinkly brown texture,296
Dark fur,36
Face with dark\n eye region,276
Dark dog faces,120
Snake skin texture,79
Parallel stripes,292
Helmets,136
Black plastic with\n gray parts,405
Shiny vaulted object,228
Gray elephant skin\n or eye,320
Striped/spiky texture,437
Ridged texture,232
Jacket-like or\n buttons,438
